t	x	y	z	adx	ady	adz
1352672388142	-4.235928	-1.3756552	-10.378705	-0.12258312	-0.43040293	-0.7131614
1352672388162	-4.2223077	-1.8387469	-11.386611	-0.12585202	-0.44129926	-0.70117545
1352672388182	-4.1814466	-2.1383946	-12.081248	-0.10460427	-0.4679951	-0.655956
1352672388202	-4.072484	-2.3699405	-12.190211	-0.08444616	-0.48924285	-0.5775027
1352672388222	-4.0452433	-2.547005	-12.190211	-0.084446155	-0.50395286	-0.53773135
1352672388242	-3.990762	-2.7240696	-11.931424	-0.09752169	-0.49959433	-0.53773135
1352672388263	-4.031623	-2.819412	-11.822462	-0.11659017	-0.47998106	-0.556255
1352672388284	-4.2223077	-2.7513103	-11.890564	-0.1334794	-0.44402328	-0.5529861
1352672388304	-4.69902	-2.4925237	-11.672638	-0.1530927	-0.4129689	-0.48815328
1352672388324	-5.284695	-2.2609777	-11.250407	-0.17216122	-0.38354897	-0.41678265
1352672388344	-4.1814466	-1.8115063	-11.114203	-0.12857608	-0.34323275	-0.36720458
1352672388365	-4.6036777	-2.1111538	-10.474048	-0.15200308	-0.33070198	-0.31054392
1352672388385	-4.630918	-1.96133	-10.051817	-0.16235454	-0.29528913	-0.27894473
1352672388433	-4.739881	-1.7434045	-9.929234	-0.18160462	-0.2355185	-0.2627592
1352672388433	-4.5219555	-1.6753027	-9.765789	-0.16562341	-0.22337368	-0.24571106
1352672388445	-3.8136973	-1.7161638	-9.615966	-0.13456903	-0.19340892	-0.21574633
1352672388465	-3.091819	-1.9068487	-9.643207	-0.098611325	-0.17488527	-0.20267078
1352672388491	-3.255263	-1.6753027	-10.051817	-0.08717023	-0.14927903	-0.2190152
1352672388508	-3.8273177	-1.6889231	-10.773695	-0.0942528	-0.12857608	-0.25170404
1352672388530	-3.1190596	-2.2201166	-11.672638	-0.05393658	-0.12639683	-0.28057918
1352672388550	-2.7240696	-2.2473574	-11.958665	-0.029419957	-0.109507605	-0.26423472
1352672388570	-2.7104492	-2.0294318	-12.094869	-0.007082586	-0.08553579	-0.23753886
1352672388590	-2.6151068	-1.8659877	-12.026767	0.017978858	-0.06755692	-0.18687117
1352672388611	-2.4516625	-1.7297841	-11.9450445	0.044129923	-0.047943626	-0.14056198
1352672388631	-2.3699405	-1.4982382	-11.699879	0.06646729	-0.023426995	-0.09534244
1352672388653	-1.9885708	-1.3075534	-11.427472	0.089894295	0.0027240706	-0.041950684
1352672388671	-1.5799603	-1.1713499	-10.96438	0.10569389	0.026695881	0.01688923
1352672388693	-1.2122109	-0.8580819	-10.54215	0.11876943	0.051212512	0.06156395
1352672388712	-1.0351465	-0.50395286	-10.079058	0.1214935	0.074639514	0.08444615
1352672388732	-0.626536	-0.25878662	-9.643207	0.1367483	0.09152874	0.101880185
1352672388753	-0.08172209	0.05448139	-9.112013	0.1563616	0.11114205	0.11277645
1352672388773	0.27240697	0.61291564	-8.635301	0.17216119	0.13729312	0.12748645
1352672388794	0.667397	0.92618364	-8.144968	0.19558819	0.14709976	0.14982384
1352672388813	1.3620348	0.9670447	-7.641015	0.24244219	0.13838273	0.16126491
1352672388834	2.152015	1.1168685	-7.137062	0.29746836	0.13511385	0.16453381
1352672388854	2.73769	1.2803127	-6.6331096	0.27676547	0.12367275	0.17924376
1352672388874	3.2961242	1.6344417	-6.2108784	0.3159921	0.14982383	0.17052677
1352672388898	3.7047346	1.8659877	-5.6933055	0.33342612	0.1530927	0.17434046
1352672388915	4.2086873	1.8387469	-5.09401	0.33998486	0.1461568	0.19068488
1352672388936	4.6445384	1.8251266	-4.426613	0.36665976	0.14001717	0.21356705
1352672388955	5.2165933	1.96133	-4.031623	0.36121166	0.14709975	0.22337371
1352672388976	5.8158884	2.1656353	-3.3506055	0.35630828	0.16289936	0.25170404
1352672388995	6.197258	2.4108016	-2.4789033	0.37810084	0.16344416	0.30291656
1352672389017	6.3334618	2.6287272	-1.1849703	0.40643123	0.172706	0.383549
1352672389037	6.5241466	2.8738933	0.40861043	0.38572824	0.20376037	0.48324996
1352672389057	6.8374147	3.091819	2.002191	0.3824594	0.21356705	0.55843425
1352672389077	8.825985	3.3778462	2.9419951	0.4614574	0.21629113	0.6014745
1352672389101	8.975809	3.5821514	3.9771416	0.46363667	0.21792555	0.6401563
1352672389156	8.948568	4.2495484	4.862464	0.47160456	0.2394911	0.69009763
1352672389161	8.539958	4.903325	5.638824	0.43868876	0.2587866	0.71109563
1352672389161	8.444615	5.339176	5.6660647	0.4173275	0.26586917	0.68374145
1352672389177	8.580819	5.3800373	5.339176	0.4064312	0.2620555	0.6521423
1352672389197	8.240311	5.407278	4.9169455	0.37810084	0.25061437	0.61836374
1352672389225	6.8374147	5.5434813	4.3176503	0.31490245	0.24189737	0.5758683
1352672389240	6.142777	5.638824	3.1871614	0.2707725	0.23590443	0.51321465
1352672389258	5.8976107	5.1893525	1.6344417	0.23917332	0.20539486	0.42985812
1352672389278	5.679685	4.671779	0.3677494	0.2162911	0.16235453	0.3601219
1352672389298	5.202973	4.372132	-0.6401563	0.18142305	0.13783793	0.30019242
1352672389319	4.6036777	4.140586	-1.5390993	0.12966572	0.12694164	0.24407654
1352672389338	3.9635212	3.990762	-2.152015	0.072460264	0.11495574	0.19940184
1352672389362	3.4731886	3.5140498	-2.6559677	0.029419947	0.089349486	0.15908565
1352672389497	2.8330324	2.8875136	-3.3506055	-0.018523684	0.050122872	0.11441087
1352672389499	1.7706453	2.5197644	-4.072484	-0.22133064	0.005448139	-0.079679035
1352672389499	0.9942854	2.083913	-4.903325	-0.24776061	-0.015566122	-0.11544865
1352672389500	0.42223078	1.5799603	-5.706926	-0.26250124	-0.037765514	-0.14672829
1352672389501	0.42223078	1.0215261	-6.5922484	-0.25108814	-0.060403284	-0.1788411
1352672389507	-0.6401563	0.50395286	-7.668256	-0.28489226	-0.07945203	-0.21622302
1352672389508	-1.0623871	0.23154591	-8.580819	-0.2903858	-0.08717023	-0.24407664
1352672389523	-1.253072	0.12258313	-9.343558	-0.30346134	-0.100245774	-0.3263435
1352672389546	-1.56634	0.06810174	-9.466142	-0.32361946	-0.11223166	-0.3949901
1352672389564	-1.8659877	-0.2860273	-9.602345	-0.34813607	-0.13511387	-0.46418145
1352672389584	-2.3426998	-0.43585113	-10.160779	-0.4467474	-0.1525479	-0.52411103
1352672389604	-3.1463003	-0.313268	-10.58301	-0.48488438	-0.15581678	-0.58240604
1352672389624	-3.7319753	-0.32688835	-10.678352	-0.48876095	-0.15034768	-0.56367284
1352672389646	-3.9362805	-0.54481393	-10.678352	-0.47822556	-0.15285057	-0.5427961
1352672389668	-4.1269655	-0.8580819	-10.855417	-0.5028632	-0.24789032	-0.6608592
1352672389688	-4.630918	-0.92618364	-11.141444	-0.52846944	-0.25224885	-0.65922487
1352672389707	-5.09401	-1.2803127	-11.372991	-0.5333728	-0.26750362	-0.65159744
1352672389727	-5.4617596	-1.7434045	-11.604536	-0.49196693	-0.29147545	-0.6368875
1352672389747	-5.3119354	-2.6832085	-12.503479	-0.45818847	-0.33288133	-0.62762564
1352672389767	-4.8760843	-2.8057916	-13.525005	-0.43094775	-0.3198058	-0.6063779
1352672389792	-5.2574544	-4.004382	-15.322891	-0.43748552	-0.34704646	-0.62762564
1352672389821	-5.5843425	-4.4129925	-16.930092	-0.42450082	-0.3563991	-0.6412913
1352672389828	-5.952092	-4.508335	-17.406805	-0.42223075	-0.34595683	-0.6347082
1352672389848	-5.9248514	-4.7126403	-16.88923	-0.3955348	-0.34813607	-0.5894886
1352672389867	-5.5026207	-4.399372	-15.894946	-0.35903233	-0.31653687	-0.52955914
1352672389889	-5.4208984	-4.0861044	-14.87342	-0.3301572	-0.2789447	-0.46091256
1352672389912	-5.47538	-3.8273177	-14.219643	-0.3195543	-0.25826272	-0.41803986
1352672389928	-5.284695	-3.7047346	-14.2877445	-0.30065656	-0.24415733	-0.40507922
1352672389949	-5.2574544	-3.568531	-14.437569	-0.28894594	-0.23057301	-0.39596295
1352672389970	-4.8897047	-3.1599207	-14.233263	-0.26630127	-0.2085322	-0.37526405
1352672389989	-4.9169455	-2.7104492	-13.6748295	-0.25833258	-0.18659875	-0.3441408
1352672390010	-5.202973	-2.083913	-12.816748	-0.16562344	-0.09261836	-0.16943714
1352672390029	-5.175732	-1.4709976	-12.190211	-0.15690641	-0.06374322	-0.11386612
1352672390049	-4.9986677	-0.87170225	-11.277648	-0.13729312	-0.037592165	-0.07246025
